[    2378ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_0slq96g._.js:2477
[    2456ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_0slq96g._.js:2477
[   23317ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed:  @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   24344ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   25347ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   26354ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   27357ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   28365ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   33377ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   38390ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   43406ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   48450ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   53530ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   58629ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
[   63873ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=2DfRgxcvT-0_kNk3sZqcv' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/1ikz_next_dist_client_0zo405f._.js:13422
